conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,sentiment
1.83E+18,Sun Sep 01 23:58:20 +0000 2024,0,@PakarINTELek Rano karno bukan betwi dia cuma maen film,1.83E+18,,PakarINTELek,in,Jatibening,0,0,0,https://x.com/_madifa8/status/1830394792846745743,86304935,_madifa8,Negatif
1.83E+18,Sun Sep 01 23:51:46 +0000 2024,0,Kasihan bang Rano Karno gagal jadi caleg. Padahal kemenangan Pilgub sangat tipis,1.83E+18,,,in,"Kota Surabaya, Jawa Timur",0,0,0,https://x.com/sujiono2010/status/1830393139921842192,117102976,sujiono2010,Negatif
1.83E+18,Sun Sep 01 23:43:15 +0000 2024,0, @UusRsd ANIES HANYA MEMBALAS SAPAAN DARI PRAMONO DAN RANO KARNO HANYA ITU?!!!.....BUKAN SEPERTI KETUM ANDA NGEMIS2 MINTA PKS DI AJAK MASUK KE KIM..... ANIES TAK AKAN SEPERTI PARTAI ANDA!!!......PAHAM!!!... ,1.83E+18,,UusRsd,in,,0,0,0,https://x.com/Strongerbro/status/1830390995978207340,1.46E+18,Strongerbro,Negatif
1.83E+18,Sun Sep 01 23:29:07 +0000 2024,0,@PakarINTELek Rano Karno bukan betawi asli blio berdarah Minang. Pengarang Si Doel Marah Roesli juga orang Minang.,1.83E+18,,PakarINTELek,in,#Depok #Medan #Jakarta,0,0,1,https://x.com/_Heyo_/status/1830387439728464187,66166134,_Heyo_,Netral
1.83E+18,Sun Sep 01 22:55:28 +0000 2024,0,Kasihan bang Rano Karno yg sdh lolos Caleg gagal jd caleg krn dpt tugas jd calon wagub yg tingkat kemenangannya rendah sekali.,1.83E+18,,,in,"Kota Surabaya, Jawa Timur",0,0,0,https://x.com/sujiono2010/status/1830378970904420531,117102976,sujiono2010,Negatif
1.83E+18,Sun Sep 01 22:47:56 +0000 2024,0,@PakarINTELek Si Doel itu asli Betawi Rano Karno bukan asli Betawi. Rano Karno adalah anak Sukarno M Noor. Seniman Indonesia berdarah Minang.,1.83E+18,,PakarINTELek,in,Bogor-depok-sukabumi-cianjur,0,1,0,https://x.com/okebogor/status/1830377077021028380,82228925,okebogor,
1.83E+18,Sun Sep 01 22:44:12 +0000 2024,1,Semoga menjadi perhatian Bang @ranokarno_ Mas @pramonoanung Kang @ridwankamil https://t.co/1XRNc8eei3,1.83E+18,,,in,"DKI Jakarta, Indonesia",0,0,0,https://x.com/Kata_ervan/status/1830376136058286589,1.80E+18,Kata_ervan,
1.83E+18,Sun Sep 01 22:32:01 +0000 2024,0,@PakarINTELek Tapi kan rano karno aslinya orang minang wkwk,1.83E+18,,PakarINTELek,in,,0,0,0,https://x.com/andreassnip/status/1830373072182169775,1.76E+18,andreassnip,
1.83E+18,Sun Sep 01 22:24:10 +0000 2024,0,Blak-blakan! Rano Karno Ungkap Isi Pembicaraan dengan Megawati Jelang Daftar Pilgub Jakarta https://t.co/o1wmOTRzGW,1.83E+18,,,in,Jakarta,0,0,0,https://x.com/okezonenews/status/1830371094286696631,47274731,okezonenews,
1.83E+18,Sun Sep 01 22:11:34 +0000 2024,2,Sederet artikel tentang pasangan bakal calon gubernur dan wakil gubernur Jakarta Pramono Anung-Rano Karno menjadi yang terpopuler. https://t.co/Uzp1mDOMHn,1.83E+18,,,in,Jakarta,0,0,0,https://x.com/kompascom/status/1830367923958944204,23343960,kompascom,
